,0
0,"Depart: 11 Feb 2019
$502"
1,"Depart: 12 Feb 2019
$515"
2,"Depart: 13 Feb 2019
$517"
3,"Depart: 14 Feb 2019
$512"
4,"Depart: 15 Feb 2019
$517"
5,"Depart: 16 Feb 2019
$658"
6,"Depart: 17 Feb 2019
$463"
7,"Depart: 18 Feb 2019
$427"
8,"Depart: 19 Feb 2019
$346"
9,"Depart: 20 Feb 2019
$350"
10,"Depart: 21 Feb 2019
$416"
11,"Depart: 22 Feb 2019
$350"
12,"Depart: 23 Feb 2019
$567"
13,"Depart: 24 Feb 2019
$421"
14,"Depart: 25 Feb 2019
$362"
15,"Depart: 26 Feb 2019
$304"
16,"Depart: 27 Feb 2019
$305"
17,"Depart: 28 Feb 2019
$436"
18,"Depart: 1 Mar 2019
$1,069"
19,"Depart: 2 Mar 2019
$417"
20,"Depart: 3 Mar 2019
$354"
21,"Depart: 4 Mar 2019
$362"
22,"Depart: 5 Mar 2019
$309"
